Bug_id,Fixing_commit_hash,commitdate
1648064,d8785e5e8dd12152f5089c6c14f44f5a8fad752a,2020-07-02 22:49:55 +0000
1649228,56111c91d27008f1e5d609e0b75a8c92613b6636,2020-06-30 09:44:28 +0000
1650210,6e4f5b26c2587830e986ce1e7cf3bfefc626cc3d,2020-07-02 20:37:19 +0000
1648901,99b300ce0e47e792c08d98c92e634d00fdf78acb,2020-06-30 22:31:29 +0000
1645835,c720bd81a016723c994d2e9614eb044e1fcd77ff,2020-06-25 16:30:44 +0000
1645235,a7a4bc2dba630fbc64cf59bc6865c67006e50f79,2020-07-02 15:51:18 +0000
1645235,bc50781ce9e9bbd5ca079f443b0686239830f96c,2020-06-30 22:38:45 +0000
1647940,a2c3c4d10bf40fd2999729e4b9c4c8217644d7a1,2020-07-02 09:16:17 +0000
1649878,ece484d43f7764e79e30f244ef6b01f24c482e78,2020-07-02 08:50:29 +0000
1649670,cdcaab85f11cb5cda4b08c2f81d2efb0bf67954d,2020-07-02 00:08:56 +0000
1649236,184b05fb55da0ce6ef749ab3118b38d88a80e06d,2020-07-01 18:55:16 +0000
1648577,e5c44b1c3604e9995eace95cd9d9e61c427e198d,2020-07-01 18:18:00 +0000
1644320,410c14bebe95ad978ab3db80abf0f0b825ad8ec4,2020-07-01 18:12:06 +0000
1640278,a9b4324248c1b72d61a737641a3944d9781d58ca,2020-07-01 14:04:19 +0000
1649710,e19e7c943a24cf3174ce2abec9049a5112717644,2020-07-01 13:31:31 +0000
1649503,c151383a4a0586cd516069c50ddc0827ddaca1e3,2020-07-01 10:38:46 +0000
1648010,e3c223da3e69fdfbfc5bffa1cb6608f9acc256c6,2020-07-01 08:34:12 +0000
1647250,ac180368d094b18aac923227d25b430918a05cea,2020-06-30 10:45:51 +0000
1647532,7f97330880aaeec4ab844f3335c9fff516161066,2020-07-01 00:03:20 +0000
1630176,9f398ab01902f42ee8585beb001a1ce97d3adc89,2020-06-30 20:57:52 +0000
1648577,83358388ac97f9719d9516b71cd0b561e19ebc75,2020-06-30 21:35:06 +0000
1649319,3b27f08cb59c399f2a380f04d82727c2e9a106ea,2020-06-30 19:00:01 +0000
1647557,c47eae614388308cf8c1a3247ac055c90e13ab8c,2020-06-30 16:01:46 +0000
1649225,118d838da818b77c01338f67aa26e7bdf1f3cbb1,2020-06-30 10:31:23 +0000
1648898,735a4b5c2c7d4a72d64a32c00fea1d8324f388e1,2020-06-30 11:06:31 +0000
1648972,3fbe4a7b38eb39b42fdd51a079a680a0fd3a6ef4,2020-06-30 05:07:21 +0000
1648972,b7307aabfe7e3829a8ea58ad8ee6f886d8a19fba,2020-06-30 01:43:24 +0000
1648898,6ca26ca6d3eb3452dc39f28fecc4611c22c2ac06,2020-06-29 22:59:20 +0000
1648417,8027e4ca15f31bb3d3f8c223a279acf30c34081a,2020-06-29 16:38:39 +0000
1641598,7d203057ee68f96633f14bfc01199a43881b630a,2020-06-29 14:36:51 +0000
1648875,269c35eaacdcd6f112cd00b780586c7296edc0f2,2020-06-29 15:05:31 +0000
1648795,0398ff5ec9542097928fb1ae14ebe33690b8f229,2020-06-29 05:18:17 +0000
1647862,1628e0582a6cf2d4fd1120877c40c4875c2deb3b,2020-06-28 22:00:56 +0000
1648651,f64e5ea82680c8fd2995678efaeb229d861b1118,2020-06-28 23:43:18 +0000
1648651,5fac8151eae32cb94b217d504022dfcb19360962,2020-06-27 20:22:21 +0000
1634580,4b0c41636b96e37cfe118f1396685bae99ab0e34,2020-06-27 08:43:00 +0000
1399356,b7bcc3c21cbdcf463a831c6d6f37c87126a0b625,2020-06-26 23:21:25 +0000
1648538,b03f0a875d85c3345f62187b4abb14b446eeff7a,2020-06-26 19:00:21 +0000
1648651,b4ae9c899c108eb216482600a1f2ae36a8489f10,2020-06-26 16:30:39 +0000
1647774,57c85830c835500385520a61de5968396ea07941,2020-06-26 14:34:24 +0000
1627164,47fb9957d8b7ab8a22264be0257f8d9f12049752,2020-06-19 12:31:37 +0000
1621920,3048b298b2a5b5c1175888f6a169cf0d26e2570a,2020-06-25 07:16:50 +0000
1647862,29c3ca74496f0dcf85e703ab1ced7ee04ae09963,2020-06-25 23:42:07 +0000
1399356,365452d6654f60b96982c802549123e0322967b1,2020-06-26 01:10:13 +0000
1648575,382cebd8f2ccb0c43b0cedeac927c3c5a0e67143,2020-06-25 22:31:02 +0000
1647862,0e14b7509e5ab6386c57c50688efc97388156bfd,2020-06-25 19:49:04 +0000
1643798,e916b18fa8f12467909fc7ff9db49d151320bc94,2020-06-25 13:17:04 +0000
1634436,5205b46013e386012ddf0b087dec400d7127e4a6,2020-06-23 11:29:42 +0000
1647461,b1d84ac486c62dde00af4e1c7dc4dd7358cf50a1,2020-06-25 13:15:15 +0000
1644834,7c138c1f2501df63638c4d0e3da71d4324d5f604,2020-06-25 10:40:02 +0000
1645416,39504b3094b3317d7aa0859434fcb23e2cfd0079,2020-06-25 12:33:31 +0000
1644296,96d1e18b591abf38158a41c0a6a82b4336b84c2f,2020-06-25 08:58:31 +0000
1621920,82cb01d28e16666087bc24379255c48da1e55491,2020-06-25 06:26:43 +0000
1648271,b47ef58c8d43c20aa1ac86cd526f8967bdd14cd8,2020-06-24 21:51:29 +0000
1646211,4dfc13f0d6103e86e1cac181ce1797dcd92af270,2020-06-25 03:18:14 +0000
1635781,94507ab6ae22de2330fe5d26eeb360c7c25cf5db,2020-06-24 20:17:22 +0000
1647871,24e9f0cd8eec884eab505a2a5beeb39f8d79c8bf,2020-06-24 13:18:50 +0000
1645416,25c8980495b2228a0b79b6ad27afb746388e2800,2020-06-24 14:31:07 +0000
