Bug_id,creationdate,resolutiondate
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665070,2011-06-17 18:50:32 +0000,2011-07-08 00:07:31 +0000
665518,2011-06-20 12:50:38 +0000,2011-06-21 22:05:11 +0000
665548,2011-06-20 15:12:39 +0000,2011-06-22 08:04:08 +0000
665936,2011-06-21 16:56:08 +0000,2011-07-08 00:09:33 +0000
667092,2011-06-24 22:35:53 +0000,2011-07-01 22:01:47 +0000
667315,2011-06-26 18:47:17 +0000,2011-07-04 20:56:08 +0000
667507,2011-06-27 17:15:10 +0000,2011-07-15 14:03:37 +0000
667512,2011-06-27 17:30:39 +0000,2011-07-26 13:06:34 +0000
668245,2011-06-29 17:01:17 +0000,2011-07-18 22:48:07 +0000
668941,2011-07-02 02:30:30 +0000,2011-07-12 08:13:37 +0000
669228,2011-07-04 22:56:07 +0000,2011-07-28 15:17:53 +0000
670317,2011-07-09 06:52:07 +0000,2012-02-14 13:19:38 +0000
670319,2011-07-09 07:02:30 +0000,2011-09-01 20:51:02 +0000
670514,2011-07-10 12:38:54 +0000,2012-05-03 19:27:11 +0000
670514,2011-07-10 12:38:54 +0000,2012-05-03 19:27:11 +0000
671160,2011-07-13 01:48:09 +0000,2011-07-15 13:48:43 +0000
672436,2011-07-19 03:50:55 +0000,2011-07-26 17:13:30 +0000
672485,2011-07-19 13:34:26 +0000,2011-08-26 21:30:30 +0000
672485,2011-07-19 13:34:26 +0000,2011-08-26 21:30:30 +0000
672892,2011-07-20 19:02:59 +0000,2011-08-15 04:44:24 +0000
673757,2011-07-24 07:42:28 +0000,2011-07-25 05:50:29 +0000
674182,2011-07-26 08:53:59 +0000,2011-07-28 15:17:32 +0000
674776,2011-07-28 00:04:44 +0000,2011-09-21 15:41:20 +0000
674843,2011-07-28 09:32:26 +0000,2011-08-03 17:23:07 +0000
675515,2011-07-31 19:37:44 +0000,2011-08-04 09:31:27 +0000
675747,2011-08-01 21:41:07 +0000,2011-08-05 18:57:28 +0000
676918,2011-08-05 20:01:15 +0000,2011-08-15 19:58:35 +0000
677847,2011-08-10 05:27:02 +0000,2011-08-10 21:04:30 +0000
679494,2011-08-16 20:57:35 +0000,2011-08-23 08:30:25 +0000
679494,2011-08-16 20:57:35 +0000,2011-08-23 08:30:25 +0000
679494,2011-08-16 20:57:35 +0000,2011-08-23 08:30:25 +0000
679588,2011-08-17 03:05:44 +0000,2013-06-11 12:48:35 +0000
679593,2011-08-17 03:43:55 +0000,2011-08-23 08:37:20 +0000
679986,2011-08-18 04:41:25 +0000,2011-11-08 09:24:46 +0000
680456,2011-08-19 16:06:59 +0000,2012-02-01 19:03:05 +0000
680687,2011-08-20 18:35:56 +0000,2011-08-23 12:58:48 +0000
680840,2011-08-22 07:01:05 +0000,2011-09-10 03:02:39 +0000
680840,2011-08-22 07:01:05 +0000,2011-09-10 03:02:39 +0000
682335,2011-08-26 17:49:00 +0000,2011-09-09 22:05:11 +0000
